鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
斗六市,租賃房屋+車位,雲林縣斗六市南京路３２９號八樓,0.0,,,,1150223,土地0建物1車位1,八層,10,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1120104,91.22,2,1,1,有,有,有,18100,197,升降機械,3.01,700,續租案件；,RPRNMLPJLHLGFAP09CC,整棟(戶)出租,有,1150225~1160224,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
虎尾鎮,土地,延平段42地號,118.56,,鄉村區,乙種建築用地,1150302,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,7000,59,,0.0,0,含增建或未登記建物；,RPPNMLPJLHLGFDP56CC,,,1150310~1200309,,,
虎尾鎮,租賃房屋,雲林縣虎尾鎮林森路二段５９之５號,0.0,,,,1150304,土地0建物1車位0,見其他登記事項,12,住宅大樓(11層含以上有電梯),集合住宅、店舖,鋼筋混凝土造,0951205,132.69,2,1,2,有,有,有,8790,66,,0.0,0,續租案件；,RPQNMLPJLHLGFDP66CC,整棟(戶)出租,有,1150320~1160319,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
斗六市,租賃房屋,雲林縣斗六市樂利街５３號五樓之６,0.0,,,,1150220,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,19.7,1,0,1,有,有,有,4200,213,,0.0,0,含增建或未登記建物；,RPPNMLQJLHLGFAP98CC,獨立套房,有,1150225~1150824,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號七樓之８,0.0,,,,1150223,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,18.479999999999997,1,0,1,有,有,有,4200,227,,0.0,0,含增建或未登記建物；,RPQNMLQJLHLGFAP09CC,獨立套房,有,1150301~1150831,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號二樓之２１,0.0,,,,1150224,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,15.440000000000001,1,0,1,有,有,有,4200,272,,0.0,0,含增建或未登記建物；續租案件；,RPRNMLQJLHLGFAP56CC,獨立套房,有,1150324~1160323,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號三樓之２７,0.0,,,,1150223,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,16.299999999999997,1,0,1,有,有,有,4200,258,,0.0,0,含增建或未登記建物；續租案件；,RPSNMLQJLHLGFAP66CC,獨立套房,有,1150301~1150831,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號六樓之２５,0.0,,,,1150223,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,18.479999999999997,1,0,1,有,有,有,4200,227,,0.0,0,含增建或未登記建物；,RPTNMLQJLHLGFAP76CC,獨立套房,有,1150301~1150831,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市斗工十路９８號四樓之２,0.0,,,,1150305,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080213,77.3,2,1,2,有,有,有,12700,164,,0.0,0,管理費300元由出租人負擔。,RPUNMLQJLHLGFAP86CC,整棟(戶)出租,無,1150310~1151121,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮五間厝６０-１６號,0.0,,,,1150225,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080409,13.510000000000002,1,0,1,有,有,有,4400,326,,0.0,0,含增建或未登記建物；續租案件；,RPPNMLQJLHLGFDP66CC,獨立套房,有,1150415~1160414,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮科園路７２號,0.0,,,,1150302,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,1110727,19.44,1,0,0,有,無,有,5500,283,,0.0,0,,RPQNMLQJLHLGFDP76CC,分層出租,無,1150303~1160302,無,冷氣、洗衣機、冰箱、網路,
斗六市,租賃房屋,雲林縣斗六市中正路２１７巷５２號６樓之１,0.0,,,,1150228,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811229,55.56999999999999,1,0,1,有,有,有,5500,99,,0.0,0,,RPPNMLTJLHLGFAP66CC,獨立套房,有,1150301~1160228,有,冷氣、熱水器、冰箱,一般轉租
斗南鎮,租賃房屋,雲林縣斗南鎮建國三路２８１號五樓之９,0.0,,,,1150304,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1130516,79.18,2,1,1,有,有,有,14700,186,,0.0,0,續租案件；,RPPNMLTJLHLGFBP76CC,整棟(戶)出租,有,1150307~1160306,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮西平路４０號三樓,0.0,,,,1150305,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810930,84.68,2,1,1,有,有,無,8000,94,,0.0,0,,RPQNMLTJLHLGFDP07CC,整棟(戶)出租,無,1150305~1160304,有,,社會住宅代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮興南路６０９號,61.66,,特定農業區,甲種建築用地,1150309,土地2建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0860531,201.23,5,2,3,有,無,無,18000,89,,0.0,0,,RPRNMLTJLHLGFDP17CC,整棟(戶)出租,無,1150401~1170331,無,冷氣,
斗六市,租賃房屋,雲林縣斗六市成功二街１２６號,0.0,,,,1150225,土地0建物1車位0,全,4,透天厝,住宅、樓梯間、電梯間,鋼筋混凝土造,1140401,328.46,6,2,7,有,無,無,60000,183,,0.0,0,租金總額含稅；租賃期間有約定不同租金115年2月25日起至115年5月15日止為免租裝潢期。；,RPRNMLKKLHLGFAP68CC,,無,1150225~1230515,有,,
斗六市,租賃房屋,雲林縣斗六市樂利街５３號二樓之１９,0.0,,,,1150304,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,19.43,1,0,1,有,有,有,4200,216,,0.0,0,含增建或未登記建物；,RPSNMLKKLHLGFAP78CC,獨立套房,有,1150325~1150924,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號五樓之７,0.0,,,,1150226,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,18.380000000000003,1,0,1,有,有,有,4200,229,,0.0,0,含增建或未登記建物；續租案件；,RPTNMLKKLHLGFAP88CC,獨立套房,有,1150322~1150921,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號六樓之７,0.0,,,,1150223,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,18.380000000000003,1,0,1,有,有,有,4200,229,,0.0,0,含增建或未登記建物；,RPUNMLKKLHLGFAP98CC,獨立套房,有,1150301~1150831,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
