鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路與如意五街現為慈文路827巷交叉路口,42.08,住,,,1150529,土地1建物1車位2,二十三層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,291.91,0,0,0,無,無,48090000,193240,坡道平面,69.44,5100000,內含1間標配衛浴毛胚屋；,RPQNMLTJOHLGFAH78CB,國泰GRAND PARK,A棟1-23F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路與如意五街現為慈文路827巷交叉路口,42.08,住,,,1150525,土地1建物1車位2,二層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,291.91,0,0,0,無,無,45200000,179575,坡道平面,69.44,5250000,內含1間標配衛浴毛胚屋；,RPSNMLTJOHLGFAH98CB,國泰GRAND PARK,B棟1-2F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路與如意五街現為慈文路827巷交叉路口,39.01,住,,,1150525,土地1建物1車位2,二層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,275.69,0,0,0,無,無,44000000,190303,坡道平面,69.44,4750000,內含1間標配衛浴毛胚屋；,RPTNMLTJOHLGFAH09CB,國泰GRAND PARK,B棟2-2F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路與如意五街現為慈文路827巷交叉路口,39.01,住,,,1150530,土地1建物1車位2,十七層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,275.69,0,0,0,無,無,43820000,189673,坡道平面,69.44,4700000,內含1間標配衛浴毛胚屋；,RPUNMLTJOHLGFAH56CB,國泰GRAND PARK,B棟2-17F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區新埔五街114號旁,29.71,住,,,1150531,土地6建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,166.42,3,2,2,有,無,22000000,164182,坡道平面,47.04,2400000,,RPPOMLTJOHLGFAH78CB,萬昱紳藏,A棟1-3F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段正光路路口,14.26,住,,,1150530,土地2建物1車位1,二十四層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.03,2,2,2,有,無,22140000,184923,坡道平面,20.12,2000000,,RPSOMLTJOHLGFAH09CB,璟都中路大苑,B棟2-24F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區大興西路三段正光路路口,14.26,住,,,1150531,土地2建物1車位1,二十六層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.03,2,2,2,有,無,22070000,186117,坡道平面,20.12,1800000,,RPUOMLTJOHLGFAH66CB,璟都中路大苑,B棟2-26F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路189號,6.15,商,,,1150531,土地2建物1車位1,七層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.61,2,2,2,有,無,12420000,145148,坡道平面,27.51,2100000,,RPRPMLTJOHLGFAH09CB,安曼莊園,C棟03-07F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路189號,5.74,商,,,1150526,土地2建物1車位1,十四層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.75,2,2,2,有,無,11670000,144475,坡道平面,27.51,2100000,,RPTPMLTJOHLGFAH66CB,安曼莊園,C棟13-14F號,
觀音區,房地(土地+建物)+車位,桃園市觀音區莊敬二街與忠孝一街交叉口,17.59,住,,,1150525,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.04,2,1,2,有,無,7900000,80166,坡道平面,32.59,1130000,,RPPNMLTJOHLGFBH78CB,嚮未來-蒔美,A2-14F號,
龍潭區,房地(土地+建物),桃園市龍潭區桃園市龍潭區梅龍路515巷53號對面,236.54,,鄉村區,乙種建築用地,1150526,土地5建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,267.53,4,2,4,有,無,33000000,123351,,0.0,0,,RPPNMLTJOHLGFCH88CB,大悅,B棟6號,
龍潭區,房地(土地+建物)+車位,桃園市龍潭區中豐路與中豐路461巷交叉口,18.44,,鄉村區,乙種建築用地,1150526,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.84,2,2,1,有,無,8430000,95329,坡道平面,23.62,1450000,,RPRNMLTJOHLGFCH09CB,豐中城,E3棟11號,
龍潭區,房地(土地+建物)+車位,桃園市龍潭區中豐路與中豐路461巷交叉口,26.13,,鄉村區,乙種建築用地,1150526,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.46,3,2,2,有,無,11570000,97110,坡道平面,24.69,1590000,,RPSNMLTJOHLGFCH56CB,豐中城,D6棟6號,
楊梅區,房地(土地+建物)+車位,桃園市楊梅區五守街26號旁,16.28,住,,,1150523,土地8建物1車位0,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,73.81,2,2,2,有,無,8530000,115567,,0.0,0,,RPQNMLTJOHLGFDH09CB,牛津STAR,A2棟9F號,
楊梅區,房地(土地+建物)+車位,桃園市楊梅區五守街26號旁,17.44,住,,,1150529,土地8建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.15,2,2,2,有,無,11050000,115793,坡道平面,38.13,1900000,,RPRNMLTJOHLGFDH56CB,牛津STAR,A5棟8F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南竹路四段300巷178號附近,26.29,,特定農業區,甲種建築用地,1150527,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.62,2,2,2,有,無,11550000,104493,坡道平面,29.92,1550000,,RPQNMLTJOHLGFEH56CB,鵬躍?,D1棟5F號,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區東勢里3鄰金龍路491巷32號四樓,21.86,,一般農業區,甲種建築用地,1150528,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.56,2,2,2,有,無,7850000,72615,坡道平面,31.49,1600000,,RPPNMLTJOHLGFGH66CB,大清城龍,A7棟4樓號,
中壢區,房地(土地+建物)+車位,桃園市中壢區啟文路二段176巷旁,34.29,,特定農業區,甲種建築用地,1150526,土地5建物1車位1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.58,3,2,2,有,無,14400000,110594,坡道平面,33.65,1800000,,RPPNMLLKOHLGFBH08CB,深耕17期,B2棟8F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區大湖一路與大湖一路176巷交叉口附近,32.78,住,,,1150530,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,119.55,2,2,2,有,無,13210000,131843,坡道平面,31.87,1650000,,RPPNMLLKOHLGFHH68CB,秉和芊遇,B2棟5F號,
觀音區,房地(土地+建物)+車位,桃園市觀音區富貴二街25巷旁,30.04,住,,,1150530,土地1建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.21,2,2,2,有,無,8300000,76276,坡道平面,21.06,1500000,,RPPNMLMKOHLGFBH18CB,昕世代,B1棟B1-3F號,
龍潭區,房地(土地+建物)+車位,桃園市龍潭區聖亭路300巷208號旁,34.52,,鄉村區,乙種建築用地,1150529,土地2建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.78,3,2,2,有,無,11480000,97376,一樓平面,13.75,1350000,,RPPNMLMKOHLGFCH28CB,家有村,D棟5F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區上竹路與上竹一街交叉口,13.29,住,,,1150530,土地28建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.35,2,2,1,有,無,11940000,132499,坡道平面,24.84,2200000,,RPPNMLMKOHLGFEH48CB,昭揚天映,A棟3-15F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區上竹路與上竹一街交叉口,13.29,住,,,1150528,土地28建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.35,2,2,1,有,無,12040000,132499,坡道平面,24.84,2300000,,RPQNMLMKOHLGFEH58CB,昭揚天映,A棟3-14F號,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區上竹路與上竹一街交叉口,13.29,住,,,1150531,土地28建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,98.35,2,2,1,有,無,12040000,132499,坡道平面,24.84,2300000,,RPRNMLMKOHLGFEH68CB,昭揚天映,B棟3-15F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區環中東路776號,29.65,住,,,1150530,土地1建物1車位1,一層,17,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,175.67,0,0,0,無,無,42143000,278307,坡道平面,31.8,2103000,,RPPNMLNKOHLGFBH28CB,鼎藏中原匯,店鋪21號,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區東勢里3鄰金龍路491巷30號四樓,25.49,,一般農業區,甲種建築用地,1150526,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.8,2,2,2,有,無,8900000,73771,坡道平面,31.49,1500000,,RPPNMLNKOHLGFGH78CB,大清城龍,A6棟4樓號,
龜山區,房地(土地+建物)+車位,桃園市龜山區文桃路與樂善一路交叉口附近,4.68,商,,,1150523,土地1建物1車位1,二十四層,29,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,86.81,0,0,0,無,無,11160000,141982,坡道平面,24.76,2350000,事務所,RPPNMLOKOHLGFHH98CB,長耀辰,A棟A06-24F號,
龜山區,房地(土地+建物),桃園市龜山區文桃路與樂善一路交叉口附近,5.21,商,,,1150525,土地1建物1車位0,十九層,29,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,68.98,0,0,0,無,無,10600000,153668,,0.0,0,事務所,RPQNMLOKOHLGFHH09CB,長耀辰,A棟A10-19F號,
龜山區,房地(土地+建物)+車位,桃園市龜山區文桃路與樂善一路交叉口附近,7.82,商,,,1150525,土地1建物1車位1,十八層,29,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,128.15,3,2,2,有,無,18000000,151852,坡道平面,24.76,2300000,,RPSNMLOKOHLGFHH66CB,長耀辰,C棟C05-18F號,
龜山區,房地(土地+建物),桃園市龜山區文桃路與樂善一路交叉口附近,7.82,商,,,1150525,土地1建物1車位0,十九層,29,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,103.39,3,2,2,有,無,15640000,151272,,0.0,0,,RPTNMLOKOHLGFHH76CB,長耀辰,D棟D01-19F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區日光路,22.95,住,,,1150530,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.32,3,2,2,有,無,24940000,169643,坡道平面,35.8,1950000,,RPPNMLPKOHLGFAH38CB,好風采Ⅱ,A6-07F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區元生三街甲蟲環保公園對面,14.16,住,,,1150522,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.96,2,2,2,有,無,13750000,129954,坡道平面,28.85,1650000,,RPPNMLPKOHLGFBH48CB,聚泰雲藝,B6-05F號,
